AbsT,0
2016-03-15 10:06:00,True
2016-03-15 10:06:05,True
2016-03-15 10:06:10,True
2016-03-15 10:06:15,True
2016-03-15 10:06:20,True
2016-03-15 10:06:25,True
2016-03-15 10:06:30,True
2016-03-15 10:06:35,False
2016-03-15 10:06:40,False
2016-03-15 10:06:45,False
2016-03-15 10:06:50,False
2016-03-15 10:06:55,False
2016-03-15 10:07:00,False
2016-03-15 10:07:05,False
2016-03-15 10:07:10,True
2016-03-15 10:07:15,True
2016-03-15 10:07:20,True
2016-03-15 10:07:25,True
2016-03-15 10:07:30,False
2016-03-15 10:07:35,False
2016-03-15 10:07:40,False
2016-03-15 10:07:45,False
2016-03-15 10:07:50,False
2016-03-15 10:07:55,False
2016-03-15 10:08:00,False
2016-03-15 10:08:05,False
2016-03-15 10:08:10,True
2016-03-15 10:08:15,True
2016-03-15 10:08:20,True
2016-03-15 10:08:25,True
2016-03-15 10:08:30,True
2016-03-15 10:08:35,True
2016-03-15 10:08:40,True
2016-03-15 10:08:45,True
